period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2016-Sep,Simmonds,2016-09-08,110,na,macro,stipe,5,1234,3102,72,1460.2,,na
2016-Sep,Simmonds,2016-09-08,111,na,macro,stipe,5,1206.6,3412.3,72,1440.9,,na
2016-Sep,Simmonds,2016-09-08,112,na,macro,stipe,5,282.4,2528.8,72,511.9,,na
2016-Sep,Simmonds,2016-09-08,113,na,macro,stipe,5,322.3,3396.9,72,698.4,,na
2016-Sep,Simmonds,2016-09-08,114,na,macro,stipe,5,336.3,2950.8,72,634.4,,na
2016-Sep,Simmonds,2016-09-08,115,na,macro,stipe,5,370.3,2414.8,72,595.7,,na
2016-Sep,Simmonds,2016-09-08,116,na,macro,stipe,5,335,3352.8,72,633.7,,na
2016-Sep,Simmonds,2016-09-08,117,na,macro,stipe,5,335.9,3611.1,72,900.4,,na
2016-Sep,Simmonds,2016-09-08,118,na,macro,stipe,5,363.5,1809.2,72,541.3,,na
2016-Sep,Meay,2016-09-07,119,MI0436,macro,blade,5,1493.8,3557.2,48,1749.9,,na
2016-Sep,Meay,2016-09-07,120,MI0437,macro,blade,5,1469.3,2943.4,48,1665.1,,na
2016-Sep,Meay,2016-09-07,121,MI0438,macro,blade,5,1192.3,3444.9,48,1433.8,,na
2016-Sep,Meay,2016-09-07,122,MI0439,macro,blade,5,988.7,2897.8,48,1203.5,,na
2016-Sep,Meay,2016-09-07,123,MI0440,macro,blade,5,1049.4,3342.4,48,1270.8,,na
2016-Sep,Meay,2016-09-07,124,MI0441,macro,blade,5,1299.3,3026.3,48,1530.2,,na
2016-Sep,Meay,2016-09-07,125,MI0442,macro,blade,5,1068.3,3197.4,48,1279.4,,na
2016-Sep,Meay,2016-09-07,126,MI0443,macro,blade,5,1245.5,2861.1,48,1433.4,,na
2016-Sep,Meay,2016-09-07,127,MI0444,macro,blade,5,840.2,2578,48,1080.5,,na
2016-Sep,Meay,2016-09-07,128,MI0445,macro,blade,5,1422.7,2887,48,1610.3,,na
2016-Sep,Westbeach,2016-09-11,129,MI0446,macro,blade,5,1458.2,4649.3,48,1690.1,,na
2016-Sep,Westbeach,2016-09-11,130,MI0447,macro,blade,5,1016.8,3274.6,48,1234.4,,na
2016-Sep,Westbeach,2016-09-11,131,MI0448,macro,blade,5,776.4,3161.8,48,1024.4,,na
2016-Sep,Westbeach,2016-09-11,132,MI0449,macro,blade,5,960.2,2868.2,48,1168.9,,na
2016-Sep,Westbeach,2016-09-11,133,MI0450,macro,blade,5,1256.7,3600.2,48,1496.1,,na
2016-Sep,Westbeach,2016-09-11,134,MI0451,macro,blade,5,1184.3,3587,48,1402.3,,na
2016-Sep,Westbeach,2016-09-11,135,MI0452,macro,blade,5,942.6,2903.4,48,1143.9,,na
2016-Sep,Westbeach,2016-09-11,136,MI0453,macro,blade,5,793.7,3073,48,1038,,na
2016-Sep,Westbeach,2016-09-11,137,MI0454,macro,blade,5,969.5,2946,48,1139.1,,na
2016-Sep,Westbeach,2016-09-11,138,MI0455,macro,blade,5,778,2439.3,48,1012.9,,na
2016-Nov,Meay,2016-11-13,139,MI0557,macro,blade,5,351.3,2030.8,72,514.7,,na
2016-Nov,Meay,2016-11-13,140,MI0558,macro,blade,5,372.8,2002.6,72,564.1,,na
2016-Nov,Meay,2016-11-13,141,MI0559,macro,blade,5,416.7,1046.9,72,526.1,,na
2016-Nov,Meay,2016-11-13,142,MI0560,macro,blade,5,349.9,1325.2,72,478,,na
2016-Nov,Meay,2016-11-13,143,MI0561,macro,blade,5,350.6,1507.5,72,474.6,,na
2016-Nov,Meay,2016-11-13,144,MI0562,macro,blade,5,345.6,1798.8,72,514.3,,na
2016-Nov,Meay,2016-11-13,145,MI0563,macro,blade,5,382.3,1584.2,72,517.5,,na
2016-Nov,Triquet,2016-11-14,146,MI0614,macro,blade,5,381.9,2008,72,549.6,,na
2016-Nov,Triquet,2016-11-14,147,MI0615,macro,blade,5,322.1,1607.2,72,455.7,,na
2016-Nov,Triquet,2016-11-14,148,MI0616,macro,blade,5,402.6,1740.1,72,548.1,,na
2016-Nov,Triquet,2016-11-14,149,MI0617,macro,blade,5,372.1,2086.5,72,571.3,,na
2016-Nov,Triquet,2016-11-14,150,MI0618,macro,blade,5,288.3,1491.5,72,411.9,,na
2016-Nov,Triquet,2016-11-14,151,MI0619,macro,blade,5,333.8,1821.6,72,497.7,,na
2016-Nov,Triquet,2016-11-14,152,MI0620,macro,blade,5,330.1,1809.5,72,511.2,,na
2017-Jul,Womanley,2017-07-15,195,MI0894,macro,blade,5,460.6,1451.7,24,556.1,,na
2017-Jul,Womanley,2017-07-15,196,MI0894,macro,stipe,5,472.9,1504.3,24,579.5,,na
2017-Jul,Womanley,2017-07-15,197,MI0895,macro,blade,5,518.7,1782.3,24,703.7,,na
2017-Jul,Womanley,2017-07-15,198,MI0895,macro,stipe,5,475.8,2141.9,24,764.5,,na
2017-Jul,Womanley,2017-07-15,199,MI0896,macro,blade,5,455.8,1617.8,24,601.9,,na
2017-Jul,Womanley,2017-07-15,200,MI0896,macro,stipe,5,447.6,1916,24,629.3,,na
2017-Jul,Womanley,2017-07-15,201,MI0897,macro,blade,5,486.8,1988.5,24,688.8,,na
2017-Jul,Womanley,2017-07-15,202,MI0897,macro,stipe,5,590.6,4093.1,24,973.6,,na
2017-Jul,Womanley,2017-07-15,203,MI0898,macro,blade,5,546,1952.6,24,693,,na
2017-Jul,Womanley,2017-07-15,204,MI0898,macro,stipe,5,638.1,2828.6,24,861.8,,na
2017-Jul,Womanley,2017-07-15,205,MI0899,macro,blade,5,552.7,2005.5,24,682.8,,na
2017-Jul,Womanley,2017-07-15,206,MI0899,macro,stipe,5,445.2,1894.8,24,605,,na
2017-Jul,Triquet,2017-07-14,207,MI0888,macro,blade,5,558.9,1470.7,24,696.4,,na
2017-Jul,Triquet,2017-07-14,208,MI0888,macro,stipe,5,562.3,2515.5,24,759.3,,na
2017-Jul,Triquet,2017-07-14,209,MI0889,macro,stipe,5,612.2,3692.2,24,969.3,,na
2017-Jul,Triquet,2017-07-14,210,MI0889,macro,blade,5,545.9,2232.1,24,799,,na
2017-Jul,Triquet,2017-07-14,211,MI0890,macro,blade,5,626,1630,24,775.1,,na
