interval,site,date,sampleID,isotope_uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tagged_plantID
Sep-16,Second,2016-09-10,206,MI0426,nereo,blade,25.8,5869.6,15948.3,48,6856.9,,2504
Sep-16,Second,2016-09-10,207,MI0427,nereo,blade,6.9,7732,9382,48,7904.5,,1875
Sep-16,Second,2016-09-10,208,MI0428,nereo,blade,4.3,8191.5,9241.5,48,8273.6,,1853
Sep-16,Second,2016-09-10,209,MI0429,nereo,blade,2,6585.3,6805.1,48,6600.8,,1985
Sep-16,Second,2016-09-10,210,MI0430,nereo,blade,26.6,8459.9,16409.8,48,9109.6,,1827
Sep-16,Second,2016-09-10,211,MI0431,nereo,blade,13.3,8690,10705.1,48,8874.3,,1956
Sep-16,Second,2016-09-10,212,MI0432,nereo,blade,3.3,8245.5,8955.7,48,8309.3,,1976
Sep-16,Second,2016-09-10,213,MI0433,nereo,blade,18.1,6518.5,8807.1,48,6700.4,,2111
Sep-16,Second,2016-09-10,214,MI0434,nereo,blade,6.4,7898.2,8923.7,48,8073.9,,1958
Sep-16,Second,2016-09-10,215,MI0435,nereo,blade,33.6,5832.1,16169,48,6999.2,,2097
Nov-16,North,2016-11-18,216,MI0582,nereo,blade,24.2,1177,7254.2,48,1699.6,,1933
Nov-16,North,2016-11-18,217,MI0583,nereo,blade,1,1130.4,1462.5,48,1159.3,,2484
Nov-16,North,2016-11-18,218,MI0584,nereo,blade,40.5,1377.3,11076.8,48,2235.3,,1745
Nov-16,North,2016-11-18,219,MI0585,nereo,blade,37.4,1414.6,7970,48,2002.5,,1681
Nov-16,North,2016-11-18,220,MI0586,nereo,blade,10.1,1473.7,3515.4,48,1649.3,,2002
Nov-16,North,2016-11-18,221,MI0587,nereo,blade,35.6,1638.9,9312.2,48,2273.2,,1756
Nov-16,North,2016-11-18,222,MI0588,nereo,blade,23.7,1640.6,6722.8,48,2054.6,,1807.1
Nov-16,North,2016-11-18,223,MI0589,nereo,blade,22,1286.9,6211.2,48,1680.5,,1945
Nov-16,North,2016-11-18,224,MI0590,nereo,blade,11.8,1081.9,2686.3,48,1227.5,,1685.1
Nov-16,North,2016-11-18,225,MI0591,nereo,blade,59.9,1048.8,17805.5,48,2540.9,,2488
Nov-16,Second,2016-11-20,226,MI0621,nereo,blade,34.4,1071.4,7823.1,48,1611.5,,1997
Nov-16,Second,2016-11-20,227,MI0622,nereo,blade,35.8,1010.1,13261.3,48,2089.6,,2494
Nov-16,Second,2016-11-20,228,MI0623,nereo,blade,11.2,1168.7,3648.9,48,1354.7,,1704
Nov-16,Second,2016-11-20,229,MI0624,nereo,blade,21.5,1127,4329.7,48,1400.4,,2110
Nov-16,Second,2016-11-20,230,MI0625,nereo,blade,8.4,926.4,4171.6,48,1196.2,,1816
