"period","date","site","diver","transect","side","distance","tag","time","blade_count","Sbulb_max","timestamp","stipe_length","presence","punch_length","punch_blade_length","blade_avg_length","sori"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,180,NA,NA,NA,25,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,221,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,263,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,280,NA,NA,NA,25,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,288,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,374,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,404,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,406,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,412,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,418,NA,NA,NA,20,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,446,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,447,NA,NA,NA,20,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,536,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,569,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",1,NA,NA,NA,"12:05:00",NA,NA,1,677,NA,NA,NA,120,"L"
"2016-Aug","2016-08-14","Second","OP",2,"L",7,509,"13:30:00",0,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-14","Second","OP",2,"L",8,2181,"13:30:00",59,NA,2,NA,"y",24,45,NA,NA
"2016-Aug","2016-08-14","Second","OP",2,"L",13.5,2175,"13:30:00",0,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-14","Second","OP",2,"L",14,2081,"13:30:00",75,NA,2,NA,"y",48,93,NA,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,128,NA,NA,NA,60,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,160,NA,NA,NA,40,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,253,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,271,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,287,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,290,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,294,NA,NA,NA,30,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,300,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,318,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,327,NA,NA,NA,12,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,350,NA,NA,NA,35,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,370,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,395,NA,NA,NA,45,"0"
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,395,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",2,NA,NA,NA,"12:05:00",NA,NA,1,500,NA,NA,NA,20,"0"
"2016-Aug","2016-08-14","Second","OP",3,"L",4,503,"13:30:00",25,NA,2,NA,"y",7,14,NA,NA
"2016-Aug","2016-08-14","Second","OP",3,"L",12.5,329,"13:30:00",23,NA,2,NA,"y",10,17,NA,NA
