period,date,site,diver,transect,side,dist,Sbulb_max,comments
2022-May,2022-05-06,Owen,DVM,2,na,na,22,
2022-May,2022-05-06,Owen,DVM,1,na,na,14,
2022-May,2022-05-06,Owen,DVM,1,na,na,25,
2022-May,2022-05-06,Owen,DVM,1,na,na,13,
2022-May,2022-05-06,Owen,DVM,1,na,na,12,
2022-May,2022-05-06,Owen,DVM,1,na,na,21,
2022-May,2022-05-06,Owen,DVM,1,na,na,16,
2022-May,2022-05-06,Owen,DVM,1,na,na,14,
2022-May,2022-05-06,Owen,DVM,1,na,na,24,
2022-May,2022-05-06,Owen,DVM,1,na,na,15,
2022-May,2022-05-06,Owen,DVM,1,na,na,22,
2022-May,2022-05-06,Owen,DVM,1,na,na,10,
2022-May,2022-05-06,Owen,DVM,1,na,na,24,
2022-May,2022-05-06,Owen,DVM,1,na,na,21,
2022-May,2022-05-06,Owen,DVM,1,na,na,10,
2022-May,2022-05-06,Owen,DVM,1,na,na,12,
2022-May,2022-05-06,Owen,DVM,3,na,na,22,
2022-May,2022-05-06,Owen,DVM,3,na,na,24,
2022-May,2022-05-06,Owen,DVM,3,na,na,24,
2022-May,2022-05-06,Owen,DVM,3,na,na,32,
2022-May,2022-05-06,Owen,DVM,3,na,na,30,
2022-May,2022-05-06,Owen,DVM,3,na,na,10,
2022-May,2022-05-06,Owen,DVM,3,na,na,17,
2022-May,2022-05-06,Owen,DVM,3,na,na,27,
2022-May,2022-05-06,Owen,DVM,3,na,na,20,
2022-May,2022-05-06,Owen,DVM,3,na,na,21,
2022-May,2022-05-06,Owen,DVM,3,na,na,15,
2022-May,2022-05-06,Owen,DVM,3,na,na,16,
2022-May,2022-05-06,Owen,DVM,3,na,na,30,
2022-May,2022-05-06,Owen,DVM,3,na,na,26,
2022-May,2022-05-06,Owen,DVM,3,na,na,12,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,18,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,20,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,27,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,39,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,31,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,25,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,28,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,25,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,31,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,24,
