period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,276,198,na,72,na,na,na,86,1.15,0.47,na,,18,M10904,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,231,85,na,70,na,na,na,51,0.68,0.28,na,,22,M10901,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,289,70,na,62,na,na,na,36,0.25,0.13,na,,25,M10905,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,342,98,na,66,na,na,na,50,0.59,0.12,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,338,66,na,68,na,na,na,42,0.32,0.21,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,196,82,na,64,na,na,na,35,0.16,0.25,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,387,128,na,76,na,na,na,75,2.05,0.67,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,48,86,na,52,na,na,na,22,0.27,0.09,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,438,107,na,70,na,na,na,52,0.4,0.22,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,167,60,na,60,na,na,na,28,0.11,0.18,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,668,105,na,82,na,na,na,59,0.72,0.52,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,207,63,na,74,na,na,na,25,0.12,0.11,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,185,76,na,58,na,na,na,23,0.2,0.06,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,233,78,na,78,na,na,na,87,0.35,0.22,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,262,93,na,76,na,na,na,70,0.5,0.24,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,145,90,na,66,na,na,na,38,0.39,0.11,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1174,198,na,80,na,46,44,72,3.12,1.85,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1070,323,na,92,na,41,40,89,6.96,3.52,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1130,310,na,105,na,51,51,97,8.41,3.96,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1000,236,na,83,na,37,36,48,2.11,1.33,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1222,209,na,91,na,36,37,44,1.99,1.49,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1035,292,na,97,na,52,55,107,4.57,3.86,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1174,310,na,91,na,55,54,91,6.76,4.36,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1193,337,na,94,na,60,58,101,9.34,4.84,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,619,57,na,73,na,13,10,42,0.2,0.18,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1265,200,na,90,na,43,41,67,2.55,2.34,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1228,180,na,83,na,41,39,74,2.36,1.52,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1367,164,na,78,na,42,36,80,1.73,1.44,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1415,110,na,82,na,43,41,84,1.82,1.89,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1374,210,na,93,na,45,44,90,4.3,3.19,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1340,120,na,86,na,45,43,65,1.74,2.02,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1242,280,na,91,na,38,37,74,2.62,2.06,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,1361,120,na,90,na,42,41,59,1.7,1.87,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,145,260,na,90,na,50,48,88,4.83,3.51,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,138,82,na,86,na,46,41,95,1.43,2.34,na,,na,na,
2018-Aug,2018-08-19,Gosling,na,na,KH/BMM/OP/NAP,na,470,40,na,na,na,14,13,33,0.07,0.17,na,"pneu says 16 cm, error?",na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,920,130,na,79,na,50,49,86,2.89,2.31,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,840,80,na,93,na,42,41,79,1.41,0.68,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,687,80,na,79,na,41,39,42,1,0.66,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,900,114,na,95,na,42,41,85,1.55,1.26,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,743,132,na,89,na,40,39,55,1.47,1.13,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,895,123,na,86,na,45,40,77,2.79,1.26,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,852,130,na,82,na,44,44,50,1.78,1.43,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,770,155,na,80,na,31,29,49,0.44,0.59,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,933,147,na,95,na,44,43,54,2.22,1.58,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,870,230,na,91,na,50,48,77,5,3.12,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,1023,160,na,100,na,51,48,82,3.62,3.44,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,850,175,na,95,na,60,58,85,4.14,3.31,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,770,140,na,94,na,52,50,102,3.13,2.29,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,833,133,na,99,na,55,52,91,4,3.73,na,,na,na,
